2023-10-22 11:03:26.258 | background-preinitraceId | INFO  | 6172 | background-preinit | org.hibernate.validator.internal.util.Version.<clinit>(Version.java:21) : HV000001: Hibernate Validator 6.2.5.Final
2023-10-22 11:03:26.343 | mainraceId | INFO  | 6172 | main | org.springframework.boot.StartupInfoLogger.logStarting(StartupInfoLogger.java:55) : Starting HenthouseApplication using Java 1.8.0_281 on 无敌暴龙兽 with PID 6172 (D:\桌面\学习\练手项目a\小说网站\henthouse\target\classes started by HASEE in D:\桌面\学习\练手项目a\小说网站\henthouse)
2023-10-22 11:03:26.347 | mainraceId | INFO  | 6172 | main | org.springframework.boot.SpringApplication.logStartupProfileInfo(SpringApplication.java:645) : No active profile set, falling back to 1 default profile: "default"
2023-10-22 11:03:28.754 | mainraceId | INFO  | 6172 | main | org.springframework.data.repository.config.RepositoryConfigurationDelegate.multipleStoresDetected(RepositoryConfigurationDelegate.java:262) : Multiple Spring Data modules found, entering strict repository configuration mode
2023-10-22 11:03:28.757 | mainraceId | INFO  | 6172 | main | org.springframework.data.repository.config.RepositoryConfigurationDelegate.registerRepositoriesIn(RepositoryConfigurationDelegate.java:132) : Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-10-22 11:03:28.815 | mainraceId | INFO  | 6172 | main | org.springframework.data.repository.config.RepositoryConfigurationDelegate.registerRepositoriesIn(RepositoryConfigurationDelegate.java:201) : Finished Spring Data repository scanning in 41 ms. Found 0 Redis repository interfaces.
2023-10-22 11:03:30.397 | mainraceId | INFO  | 6172 | main | org.springframework.boot.web.embedded.tomcat.TomcatWebServer.initialize(TomcatWebServer.java:108) : Tomcat initialized with port(s): 8802 (http)
2023-10-22 11:03:30.974 | mainraceId | INFO  | 6172 | main | org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext.prepareWebApplicationContext(ServletWebServerApplicationContext.java:290) : Root WebApplicationContext: initialization completed in 4557 ms
2023-10-22 11:03:41.465 | mainraceId | INFO  | 6172 | main | org.springframework.security.web.DefaultSecurityFilterChain.<init>(DefaultSecurityFilterChain.java:55) : Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@35e07e19, org.springframework.security.web.context.SecurityContextPersistenceFilter@481ed95c, org.springframework.security.web.header.HeaderWriterFilter@1109730f, org.springframework.web.filter.CorsFilter@a1e912f, org.springframework.security.web.authentication.logout.LogoutFilter@6451a288, com.qingfeng.henthouse.filter.JwtAuthenticationTokenFilter@75d366c2, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@40bf0e15, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7848321e, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@2036f83, org.springframework.security.web.session.SessionManagementFilter@1752e45c, org.springframework.security.web.access.ExceptionTranslationFilter@1aac0a47, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@10bdfbcc]
2023-10-22 11:03:41.793 | mainraceId | INFO  | 6172 | main | org.springframework.boot.web.embedded.tomcat.TomcatWebServer.start(TomcatWebServer.java:220) : Tomcat started on port(s): 8802 (http) with context path ''
2023-10-22 11:03:41.900 | mainraceId | INFO  | 6172 | main | org.springframework.boot.StartupInfoLogger.logStarted(StartupInfoLogger.java:61) : Started HenthouseApplication in 16.252 seconds (JVM running for 23.5)
